302660.7440699215	4124462.7781919623	28.2911841053
302660.7454364131	4124462.2781944252	28.2904124450
302660.7468029047	4124461.7781968880	28.2896407847
302660.7481693963	4124461.2781993509	28.2888691243
302660.7495358879	4124460.7782018133	28.2880974640
302660.7509023795	4124460.2782042762	28.2873258036
302660.7528588020	4124459.7782081058	28.2872849455
302660.7548152246	4124459.2782119350	28.2872440875
302660.7567716472	4124458.7782157641	28.2872032294
302660.7587280698	4124458.2782195932	28.2871623713
302660.7606844924	4124457.7782234228	28.2871215132
302660.7626409149	4124457.2782272520	28.2870806551
302660.7635604359	4124456.7782282573	28.2874806117
302660.7644799568	4124456.2782292631	28.2878805682
302660.7653994778	4124455.7782302685	28.2882805248
302660.7663189987	4124455.2782312739	28.2886804813
302660.7672385197	4124454.7782322792	28.2890804379
302660.7681580406	4124454.2782332851	28.2894803944
302660.7706495813	4124453.7782395524	28.2897246756
302660.7731411221	4124453.2782458197	28.2899689568
302660.7756326628	4124452.7782520875	28.2902132380
302660.7781242036	4124452.2782583549	28.2904575192
302660.7806157443	4124451.7782646222	28.2907018004
302660.7831072850	4124451.2782708900	28.2909460816
302660.7855988257	4124450.7782771573	28.2911903628
302660.7893302955	4124450.2782915914	28.2919044018
302660.7930617653	4124449.7783060251	28.2926184409
302660.7967932351	4124449.2783204592	28.2933324800
302660.8005247048	4124448.7783348928	28.2940465191
302660.8042561746	4124448.2783493269	28.2947605581
302660.8079876444	4124447.7783637610	28.2954745972
302660.8117191141	4124447.2783781947	28.2961886363
302660.8144334665	4124446.7783882786	28.2978366522
302660.8171478188	4124446.2783983625	28.2994846680
302660.8198621711	4124445.7784084459	28.3011326839
302660.8225765235	4124445.2784185298	28.3027806998
302660.8252908758	4124444.7784286137	28.3044287156
302660.8280052281	4124444.2784386976	28.3060767315
302660.8307854888	4124443.7784503917	28.3080677560
302660.8335657495	4124443.2784620859	28.3100587805
302660.8363460102	4124442.7784737800	28.3120498050
302660.8391262708	4124442.2784854742	28.3140408295
302660.8419065315	4124441.7784971683	28.3160318541
302660.8446867922	4124441.2785088625	28.3180228786
302660.8474670528	4124440.7785205566	28.3200139031
302660.8516046638	4124440.2785377749	28.3197003326
302660.8557422747	4124439.7785549932	28.3193867621
302660.8598798856	4124439.2785722120	28.3190731915
302660.8640174966	4124438.7785894303	28.3187596210
302660.8681551075	4124438.2786066486	28.3184460505
302660.8722927184	4124437.7786238673	28.3181324800
302660.8751634495	4124437.2786332737	28.3170530610
302660.8780341806	4124436.7786426800	28.3159736421
302660.8809049116	4124436.2786520864	28.3148942231
302660.8837756427	4124435.7786614927	28.3138148041
302660.8866463737	4124435.2786708991	28.3127353851
302660.8895171048	4124434.7786803050	28.3116559661
302660.8923878358	4124434.2786897114	28.3105765471
302660.8952585669	4124433.7786991177	28.3094971281
302660.8981292979	4124433.2787085241	28.3084177092
302660.9010000290	4124432.7787179304	28.3073382902
302660.9050631118	4124432.2787351762	28.3064798327
302660.9091261947	4124431.7787524224	28.3056213753
302660.9131892775	4124431.2787696682	28.3047629179
302660.9172523603	4124430.7787869140	28.3039044604
302660.9213154432	4124430.2788041602	28.3030460030
302660.9253785260	4124429.7788214060	28.3021875455
302660.9294416088	4124429.2788386517	28.3013290881
302660.9335046917	4124428.7788558975	28.3004706306
302660.9361628465	4124428.2788649993	28.2990437648
302660.9388210013	4124427.7788741011	28.2976168990
302660.9414791561	4124427.2788832029	28.2961900332
302660.9441373108	4124426.7788923047	28.2947631674
302660.9467954657	4124426.2789014066	28.2933363016
302660.9494536205	4124425.7789105084	28.2919094358
302660.9521117752	4124425.2789196102	28.2904825700
302660.9547699300	4124424.7789287120	28.2890557042
302660.9574280849	4124424.2789378138	28.2876288384
302660.9591501361	4124423.7789407852	28.2877038357
302660.9608721874	4124423.2789437561	28.2877788330
302660.9625942386	4124422.7789467270	28.2878538304
302660.9643162899	4124422.2789496984	28.2879288277
302660.9660383412	4124421.7789526694	28.2880038250
302660.9677603925	4124421.2789556407	28.2880788223
302660.9694824438	4124420.7789586117	28.2881538196
302660.9712044950	4124420.2789615826	28.2882288169
302660.9729265463	4124419.7789645540	28.2883038142
302660.9757918661	4124419.2789733377	28.2875462952
302660.9786571860	4124418.7789821220	28.2867887762
302660.9815225058	4124418.2789909057	28.2860312572
302660.9843878257	4124417.7789996895	28.2852737382
302660.9872531455	4124417.2790084737	28.2845162193
302660.9901184653	4124416.7790172575	28.2837587003
302660.9929837851	4124416.2790260417	28.2830011813
302660.9958491049	4124415.7790348255	28.2822436623
302661.0004695826	4124415.2790581402	28.2836455102
302661.0050900602	4124414.7790814545	28.2850473582
302661.0097105379	4124414.2791047692	28.2864492061
302661.0143310156	4124413.7791280835	28.2878510541
302661.0189514932	4124413.2791513982	28.2892529021
302661.0235719709	4124412.7791747130	28.2906547500
302661.0267627952	4124412.2791855508	28.2914649921
302661.0299536196	4124411.7791963886	28.2922752343
302661.0331444439	4124411.2792072268	28.2930854764
302661.0363352683	4124410.7792180646	28.2938957185
302661.0395260926	4124410.2792289024	28.2947059606
302661.0427169171	4124409.7792397407	28.2955162027
302661.0459077414	4124409.2792505785	28.2963264448
302661.0450884153	4124408.7792522884	28.2973454219
302661.0442690892	4124408.2792539978	28.2983643991
302661.0434497632	4124407.7792557073	28.2993833762
302661.0426304371	4124407.2792574172	28.3004023533
